App_Name,App_Description
数据方舟,通用型数据记录统计工具
AI提示语,以提示语为纽带，连接各类 AI 模型快速构建 AI 应用。
图卡壁纸,每天都好看&创作你的专属个性壁纸
光点红- AI生成小红书文案工具,小红书AI模型训练，帮助用户高效起号。
Logoly,帮你快速生成一组抓人眼球的 Logo
ChatBro 洽宝,高效易用的AI助手，无需安装，每日10次的免费额度。
Lifelog,留存您人生的旅途
喜鹊造字新字发布,喜鹊造字第七季新字发布
一条通知,全能的通知管家
小舒同学,我们费尽心思折腾主页，却从未好好整理过我们的收藏夹
StressWatch—压力自测提醒,通过苹果手表监测提醒你的压力状态，帮你更好应对管理压力
发票盒子,自动收集发票，智能整理发票
RSSPath,RSS订阅源与RSS阅读器之间的中间件
ExpenSee,个人智能记账助理
FocusPomo · 我的番茄,极简又可爱的高颜值番茄钟 App
梨卡相机,拍照就能识别卡路里！懒人减肥神器
WeTab-免费Chatgpt主页,一个无广告小组件新标签页。
书译,AI 全书翻译工具
Motiff,AI 时代设计工具
StaySleep 熬夜热力图,专注于减少并可视化熬夜情况的睡眠App
MenubarX,强大的 Mac 菜单栏浏览器
划词翻译,一站式划词、截图、全文、音视频翻译的浏览器插件。
Dtd Playlist,场景化歌单，帮你远离歌荒
伙伴云-零代码数字化服务平台,零代码协作平台，满足数据管理、项目协作、系统搭建数字化需求
DockX,在程序坞和菜单栏显示任何内容
Fireboom,⻜布是面向开发者的可视化API公有云平台
一生足迹,一款使用手机GPS自动记录自己一生轨迹的APP。
时间书,从时间记录到自传
LEMO FM,优雅的极简风白噪音 App
ToMemo-多功能快捷键盘的内容整理应用,多功能快捷键盘 + 剪切内容记录 + 懒人短语
减压笔记,清空想法，降低大脑压力
狐猴浏览器,同时支持Chrome和Edge扩展插件的AI手机浏览器
ReadBot,让RSS阅读更愉悦
HelpLook,免费快速搭建帮助中心且支持基于文档的GPT智能搜索回答
组件世界,轻松创建 notion 小组件
标小智LOGO神器,输入名称，Ai智能生成Logo设计
YesBot,你身边高端AI助手
韶光日记,点亮回忆，珍藏时光
Mlink.cc米现链接,一链·链所有
金山文档,金山办公旗下智能文档产品
面试押题王,AI帮助你精准押中面试题
Fresns,免费开源的社区产品，有网站、小程序、App 等
萃取-Pensieve,基于GPT 的网页分析及翻译免费浏览器插件
广发元始股,投资“元”来如此简单！
小作卡片,专为生成优雅卡片而设计的 App
POKi - 以专为集，分享创作,好内容打包分享，用 POKi 做一个更吸引人的合集。
星球读贴智能助手,使用标签筛选指定时间范围内的知识星球帖子，通过AI辅助阅读
电影感相机app,致敬65:24电影感视角，AI评分低于4.5没有资格保存
Mind FM,专注和睡眠的音乐
事线 - 串事成线,一个多项目时间线记录工具
Ai帮个忙,多功能Ai小助手，打工人的好帮手
图记,用图片记录生活，日常拍照打卡，记录相貌变化。
Amymind,打开即用的AI思维导图和白板
手与,售卖个人独立产品的线上空间
Bing sidebar for Chrome,在Chrome里使用Edge的Bing侧边栏
Epoch调音器,吉他调音器，节拍器，练琴记录
Scribble2img,将你的涂鸦/素描生成AI绘画
目标罐头,一个可爱的陪伴型目标管理App
滴答清单,达成更多，用心生活
纸间书摘,读书笔记 & 书籍管理工具💙
Spark-火花AI,AI聊天和Midjourney绘画等AI模型聚合器
polychat,免费简约的前沿AI聚合+内容社区
PartnerShare,专为SaaS企业打造的联盟推广管理系统
司马阅,AI文档阅读工具，快速总结分析洞察文档价值
年轮 - 时间统计,极简的记录步骤，直观的统计，帮你在通往理想的路上走得更远。
ONEW - 余额记账与资产管理,轻松管理你的账户与资产，不记流水账！
秩序目标,Mac上专业级的目标管理工具
GPYTHON,AI驱动的在线Python学习平台
Chato,基于企业知识库，快速创建AI助理机器人
飞书,先进企业协作与管理平台，助力高效愉悦工作体验
RockFlow,一站式美港股投资平台，年轻人的投资乐园
Knit - 更好用的prompt工具,专业的prompt管理调试工具
PMAI,产品经理AI助手，一键生成PRD
极简时钟,极简风格的翻页时钟、倒计时、正计时、整点报时、小组件
